,content
76,"chưa ăn_cánh gà ăn ngon như , thơm , giòn có xì_dầu ( chắc là cánh_gà kiểu nhật ) nói_chung là ổn , nhân_viên nhiệt_tình ngoan ngoan"
77,"bánh ngon , mềm , mịn , ăn lúc nguội ko làm nóng làm lạnh như mn nhưng cũng thấy khá ngon rồi , vị ngọt vừa hoà cùng vị mặn kem cheese uống kèm cốc sữa . hết nấc ! p / s : túi hộp xinh quá_đáng , tặng làm_quà cũng okela "
78,"quán mặt đường , đối_diện chè nổi_tiếng . có tầng nhưng có bàn_ghế nên có_thể ngồi lại ăn bánh đc . từng ăn_ở lần . lần đầu buổi chiều . quán vẫn còn bánh su tươi , nghĩa_là vừa làm xong , chọn bánh người bơm nhân bên trong . lần cực_kì ấn_tượng bánh rất ngon , topping nhân đều ngậy béo . lần lúc muộn ( pm kém ) nên không có nhiều sự lựa_chọn , chỉ còn su kem nhỏ vani . chọn topping là phomai sợi ( ngon cực , hơi mặn ngậy ) , blueberries ( chua , ngọt ) , kem vani ( ngọt , vị nhẹ ) . nhân là su kem có vị thơm vani vị béo bơ . ngon lắm . có bánh là bánh nhỏ to . bánh to khoảng / , bánh nhỏ thì bán hộp là / c . thấy mức giá là trung_bình cao nhưng chất_lượng thì hoàn_toàn xứng_đáng . miễn bàn . điểm cộng là dù mua bánh lúc khá muộn nhưng nhân_viên vẫn rất vui_vẻ nhiệt_tình ."
79,"nhà_hàng quá sang_trọng và đẳng cấp kinh luôn ! thích thưởng_thức ẩm_thực đúng chất , không sang sang chảnh cao_cấp kiểu thì nên đến . nhà_hàng nằm gần thích_hợp doanh_nhân tiếp đãi đối tác nhất , theo là . đến_cùng bạn nước_ngoài ba , đúng là chỉ có dịp như mới đến được giá quá chat . nhưng bù lại đồ_ăn thì tuyệt_vời . món ăn_ở chủ_yếu đánh chất chứ không phải lượng , món cũng có một_ít , ăn như kiểu nếm thử tinh_hoa ẩm_thực á . thích mê khai_vị đến tráng_miệng . không_gian cực đẹp thiết_kế gỗ vẫn giữ nguyên màu_sắc nguyên_bản gỗ . không_gian bên trong được chia nhỏ nên có góc riêng_tư dành bàn người góc lớn cho đông người .  đặc biệt là còn có phần ngoài_trời kiểu bàn_ghế cầu màu trắng nhìn rất hay ho để tổ_chức tiệc nhẹ . hôm mình đến thì đang có văn_phòng làm tiệc đứng ở đây , nhìn mê phết ạ . la_table_tu thật_sự là nhà hàng đẳng cấp ,  đảm bảo đủ tiêu_chí không_gian lẫn đồ ăn . nhà_hàng nổi_tiếng thuộc hàng top cũng k phải là k có lý_do .  được đi ăn ở đây đúng là mở_mang tầm_mắt ra nhiều lắm . có dịp lại theo đuôi mình đến mới được . ! : d"
80,"bàn bẩn đầy dầu_mỡ thức_ăn khách trước , nhân_viên mang bát sứt ra , bát bẩn , thái_độ kém"
81,"bánh_mì nướng muối ớt ngon , bánh_tráng trộn cũng ngon nhưng không biết mua đang đc giảm_giá hay như mà đc có nhúm , dải ra thì mỏng_dính ăn miếng thì hết chưa kịp tráng ruột . cũng / suất chứ có phải 10k . suất bt ko giảm_giá ăn đầy hộp cũng có chứ . chất_lượng thì ổn nhưng số_lượng thì ko thể tin nổi "
82,"[ ngan cháy tỏi ] nghe đồn đã lâu_nay mới chịu mò đi ăn . quả không sai , ngon xuất_sắc luôn , nhất_là nước_chấm , chấm bún không cũng được luôn  nhắc tới lại thèmmm người gọi con là kèm theo bún , canh măng tiết rau_thơm ăn k hết luôn , không phụ đi xa_xôi ăn ) ) ) mà tổng thiệt_hại có mâm gồm con ngan cháy tỏi + trà_quất , no lặc_lè ạ huhu , đường về ghé chơi cốc thiết_quan_âm size l nữa ( thiếu trân_châu thần_thánh hết sớm  ) , no quên đường về ) ) ) _ _ _ _ _ _ _ _ hàng ( bán tối ) hàng ( bán ngày ) # ngancháytỏi # nganchaytoi # nganchaytoihangthiec # hàngthiếc # # chago # trasuathietquanam thietquanam"
83,"món ngon , nước_chấm chuẩn , rấ hợp"
84,"mà nói thì cứ bước phố , thì người sẽ nghĩ ngay nem nướng . nhưng kì_thật thấy nem nướng cũng chỉ dừng mức tạm được chứ chưa thực_sự xuất_sắc . cá_nhân thì vẫn prefer nem_rán hơn nhiều bì thịt , cảm_giác khi ăn cũng nóng_hổi hơn là so nem nướng . ngoài_ra còn hay gọi kèm cá_bò nữa , mà gọi ăn_chơi thì cũng vui vuii . điểm cộng quán là tương_ớt vị khá đặc_trưng cay  . còn hay ăn nem_rán phố nữa , tuy ớt không cay bằng nhưng nem cũng rất ngon đáng thử ^ . ^"
85,"chiều thèm caramen nên phòng đặt món caramen mít quán về ăn chiều , nhìn phần đầy_ắp ly to như_thế hỏi ko mê được món quán chứ , giá rẻ đồ ngon lại giao nhanh_chóng"
86,"vị_trí : gần trường thcs , cạnh mtp mpt , theo thì quán cũng hơi khó nhìn . decor : quán nhỏ , chỉ có tầng . bàn_ghế gỗ nhìn cũng sạch_sẽ . nhân_viên : được khá nhiệt_tình . đồ_ăn : menu phong_phú , đa_dạng . ăn gimbab chiên , giá tiền thì ăn cũng ổn nhưng cuốn không chặt tay . có thử gọi trà_sữa , giá rẻ mà cốc to_đùng . nhưng không uống được hết không ngon quá ngọt dù có khá nhiều đá . có điểm trừ nữa là bàn_ghế nhìn sạch_sẽ chứ đồ_ăn không được sạch . có lần nhìn thấy chai tương_ớt bị kiến bu đầy , rồi làm thức_ăn không dùng bao_tay vệ_sinh nữa . giá_cả : bán chủ_yếu học_sinh nên giá rất rẻ , trà_sữa , gimbab ."
87,"nộm nổi_tiếng nhất khu bờ hồ bán xuyên tết , tết tăng_giá tí nhưng ngày bt thì chỉ 30k đĩa nộm bò , 50k bánh bột lọc bò có thịt bò tươi , thịt bò khô mỏng_dính mà đi hà_nội k đâu có : ) ) , lá_lách chiên hay phổi chiên , hôm hỏi mà bh quên mất  , gân bò nhai giòn sần_sật ăn phê luôn quán cũng đông , nhưng tay nhân_viên thoan thoắt nên k phải đợi_chờ lâu "
88,"chắc ăn nhiều nên hơi kĩ_tính món , chỉ gọi la ăn tạm dc so vs giá nhưng k gian thì thấy cũng ổn , thấy có lẩu mà chưa ăn thử xem có ok hơn cháo k"
89,"đặt cốc trà thạch trân_châu mà quán làm cốc tào_phớ ship đến . bảo là , cốc nhầm còn được khi menu quán ko có tào_phớ , ko hiểu quán nhầm_lẫn kiểu được số_lượng lớn mà vẫn sai_sót như_vậy . tào_phớ bình_thường như cốc mua chợ . sẽ không trải_nghiệm lại lần nữa ."
90,"hơi thất_vọng về quán . gọi suất ăn trưa gồm phần mì tương đen , kimpap thường , tokbokki . kimpap đúng chán . order nguội_ngắt , cơm khô , cứng , không có bất_cứ sốt , cắn bở vụn luôn . tokbokki được còn nóng , dẻo nhưng sốt quá ngọt lợ , ăn đúng bỏ_dở . có_lẽ ổn nhất_là mì tương đen nhưng vẫn có điểm trừ là vị hơi nhạt . lần đầu_tiên order đồ_ăn đúng ăn được miếng , còn lại không_thể ăn nổi . mong quán hãy cải_thiện chất_lượng đồ_ăn"
91,"lần đầu ăn_ở quán có tầng , tầng có_điều hoà nhưng hơi chật với_lại có cây đào checkin món ăn có_vẻ đầy_đặn , giá khá ổn , phục_vụ cũng khá nhanh . sẽ quay lại"
92,"không_gian rộng_rãi , nhân_viên ngoan_ngoãn nhiệt_tình . nhạc chủ_yếu là nhạc hoà_tấu , nhạc không lời . nhạc_sống có ngày biểu_diễn cụ_thể . có bàn_ghế ngồi ngồi triệt , sân_khấu biểu_diễn nhạc_sống . phục_vụ đẩy đủ ăn sáng , ăn trưa , ăn tối , dân văn_phòng phù_hợp lựa_chọn bữa trưa ."
93,quán đồ_ăn lèo_tèo đặc_biệt là nồi lẩu có đúng tôm bò mỏng . thả đúng lượt thì hết đồ . món ăn thì chỉ là nguyên_liệu xếp lên xong bát nước_mắm chấm vào chứ ko phải ướp xốt như quán đúng điệu . hoá_đơn hơn củ mà không ăn được món ra_hồn thậm_chí cũng ko no . tiền ăn thì không tiếc nhưng là quán đồ tệ nhất trước giờ . khuyến_cáo các bạn ko nên ăn thử mất tiền oan 
94,
95,"bên nghe nói món feature là tiệc_trà kiểu nhưng thèm cà_phê nên gọi món lẻ gồm : cappuccino , trà ( quên tên rồi ) bạn , bánh tart & tiramisu cup . - về đồ uống , cappuccino uống ổn , tạo_hình đẹp . thấy có bạn up lên được tạo_hình thiên_nga nữa , nhưng hôm tới thì tạo_hình bình_thường như quán khác . trà bạn thì có uống thử , trái_cây khá thơm , dễ uống , rất sảng_khoái . giá nước uống khoảng . quán ngã trung_tâm thì mức giá khá ổn . - bánh thì ăn thử đều thấy ngon . bánh tart có trái_cây tươi , mà lại tín_đồ trái_cây nên xin phép chấm bánh ngọt điểm . tiramisu cup cũng ngon , đậm_đà . giá bánh khá ổn , / . quá ổn cuộc tình . hảo ngọt như chắc sẽ còn ghé quán dài_dài thử hết menu bánh . - à còn không_gian thì phải nói là vô_cùng đẹp & nghệ_thuật ! quán có tầng , tầng được thiết_kế tông màu khác nhau . bạn ngồi tầng thì phải ( tầng màu xanh ) . không_gian không quá lớn nhưng có rất nhiều cửa_sổ lớn view ra ngã phố . ngồi chill chill thích phết . bạn ngồi ăn bánh thưởng trà , ngắm đường_ngắm phố buổi chiều . tóm_lại , quán có không_gian đẹp , thoáng . bánh & đồ uống ngon . chắc_chắn có dịp sẽ ghé lại lần !"
96,"dạo nhiều việc quá nên chẳng có thời_gian qua ăn , ngồi buồn_buồn thấy thèm đành lên review đỡ nhơ hihi • lúc biết phố phố thì gần như đã dành thời_gian ăn thử hết quán rồi cực nghiện bò nầm nướng cảm_thấy quán nướng ngon ưng_ý nhất trước  nhớ lần đầu_tiên tìm đến quán hôm đầu tuần quán cũng vắng hơn hôm , cũng hơi lo_lo nửa muốn vào nửa k muốn nghĩ lúc đành tặc lữoi cứ vào xem thì ai_ngờ nghiện quán đến , k thể được ahihi trí : bạn có_thể đi vào thì rẽ phải là quán thứ . còn đi phố vào thì bạn tìm đến số là thấy quán •không gian : giống như quán khác đều ngồi dọc dứoi cầu_tàu_hoả nhưng có đặc_biệt quán là tường treo đầy giỏ hoa , lá nhìn rất mát_mắt nhìn quán cũng xinh hơn . không_gian sáng_sủa , sạch_sẽ . •đồ ăn : gọi suất thật cẩm bò , nầm , , lòng , sườn nói thật đĩa mang ra rất đầy_đặn , k độn tí tẩm ướp rất là ngon , hợp khẩu_vị mình.giá thì rất phải_chăng , ăn no căng rún chia ra ngừoi chỉ khoảng thui •phụ vụ : nói thật chưa thấy quán mà chủ quán tiếp khách nhiệt_tình , xởi_lởi như quan này.lúc minh ăn xong chị chủ còn nhiệt_tình ra hỏi_han , rồi ra lấy xe mình.thật sự rát rất thoả_mãn > > > > bạn hãy qua ăn thử thì sẽ thấy điều nói còn hơn bạn nghiện nướng như mà bỏ_qua quán thì thật_sự là điều nuối_tiếc"
97,"nằm khuôn_viên khách_sạn tuy hơi cao so không_gian chất_lượng đồ phục_vụ thì rất đáng uống ngon , rất thích loại cocktail mính sẽ cố thưởng_thức loại rất chuyên_nghiệp nhiêt tình không_gian cực đẹp , có hồ bơi : )"
98,"chả biết ăn tại quán thế nào chứ đặt onl như này quá chán . khoai chiên từ vàng đậm đến cháy xém , cuối buổi dầu chiên hỗn tạp các thứ mùi thì đành chịu vậy còn khoai chiên như này nhìn mất cảm tình . quán nên lưu ý ."
99,ngõ_tự_do chuẩn là thiên_đường ăn_uống sinh_viên ) ) ) chị_em hôm đi học bù về muộn mà muốn sống cuộc_sống sinh_viên ăn_uống hơi bẩn tí thì vào ăn cũng được . chỉ ghét cái là lúc hàng tranh nhau khách hơi ghê mà ghét nhất bị sờ người . cx có lẩu có nướng có nhưng thấy linh_tinh ăn vặt mới ngon bọn hay gọi chân gà cánh_gà nướng ốc loại nem_chua rồi cút lộn xào me linh_tinh đủ tiền ra thì cũng rẻ
100,"vị nước dùng thơm chua vừa_phải , ăn rất thanh mát . bê bề thịt chắc_nịch , thơm ngọt . tô có gạch bề_bề ăn ngọt béo ngậy , cùng e bề tươi . quán mới , nên sạch , mát có_điều hoà . nhân_viên phục_vụ nhanh_nhẹn . đậu phụ không được mướt , không thích đậu_phụ quán ."
101,"khoai mềm oặt , trà đào như ly nước cống ko đào vô đạo_đức , lừa_đảo người mua hàng online mong quán sớm dẹp_tiệm lừa_đảo , quân bất_lương"
102,"đồ_ăn ngon , nhiều món nhúng lẩu , nhân_viên nhiệt_tình chu_đáo , thân thiện"
103,"thương_hiệu lâu_đời , vịt rất đậm_đà , mùi thơm ngon rất đặc_biệt"
104,chương_trình + uống bỏ_qua ( ) + cá_hồi sốt chanh leo + mỳ_spaghetti + + chai ngon ( ) đặt bàn tặng thêm đĩa hoa_quả trị_giá
105,"một trưa cuối tuần khám phá với bạn tự dưng thèm cồn cào bún mắm tôm nên đứa chụm đầu tìm quán ăn và kiếm được quán này ở khu chùa láng gần nơi buổi sáng đứa đang đi chơi . quán khá dễ tìm vì ngay đầu ngõ và mặt đường . không_gian tuy hơi bé nhưng khá thoáng mát , sạch sẽ . mình đi ăn hơi quá trưa may không đông nhưng đến nơi các bàn cũng có người hết rồi còn chừa bàn đứa đang đói hoa mắt vì nắng nóng : ) . gọi bún đậu đầy đủ nên chị chủ cho chung , lên đồ rất nhanh , lúc đầu mình định gọi thêm dồi hoặc chả thêm bên ngoài vì sợ không đủ no nhưng sau đấy no thật sự khi chưa kịp gọi thêm đấy : d . quán có nước chanh quất , sữa đậu nành , bia hoặc coca để gọi nha tầm , còn đồ gọi thêm như dồi rán , chả , lòng non .. tùy xuất sẽ là thêm hoặc nhé ăn đói nên thấy ngon lắm điểm trừ là quán sẽ không cho kẹo , nhưng không , ăn ngon là được : )"
106,"đợt lâu lắm rồi đi cùng anh_trai sang ăn mà lúc mới đi ăn tối xong , tầm 9h hơn mà quán đã khá vắng đóng_cửa trong , ngồi vỉa_hè . lần thì đi tầm giờ chiều , người đến rất đông . đi cùng bạn đi mua ít đồ_ăn vặt xong lên ăn tào_phớ , tào_phớ đầy_đủ mix n topping có bát , ổn . thế_là rẻ rồi , cũng ngon nữa . cho hơi ít đá , nhưng quán đông nhân_viên chạy_đi_chạy_lại nên ngại gọi thêm ."
